rating_count,rating,review_time_since_days,rating_label,review_length,location_cluster,street,city,postal_code,sentiment_compound,sentiment_label_vader,sentiment_polarity,sentiment_subjectivity,rating_normalized,review_word_count,rating_vs_sentiment_gap
1240,2,365,bad,501,8,13749 US-183 Hwy,Austin,78750,-0.7701,negative,0.01686507936507937,0.5037698412698411,0.25,92,1.0201
1240,1,150,bad,63,8,13749 US-183 Hwy,Austin,78750,-0.4003,negative,0.0,0.0,0.0,13,0.4003
1240,1,365,bad,339,8,13749 US-183 Hwy,Austin,78750,0.1887,positive,-0.08493589743589743,0.6294871794871795,0.0,70,-0.1887
1240,1,365,bad,318,8,13749 US-183 Hwy,Austin,78750,-0.9477,negative,-0.287037037037037,0.6361111111111111,0.0,61,0.9477
1240,1,365,bad,1063,8,13749 US-183 Hwy,Austin,78750,-0.8849,negative,0.02061904761904763,0.41795238095238096,0.0,204,0.8849
1240,1,300,bad,182,8,13749 US-183 Hwy,Austin,78750,-0.5256,negative,-0.0375,0.625,0.0,30,0.5256
1240,1,365,bad,279,8,13749 US-183 Hwy,Austin,78750,-0.888,negative,-0.16999999999999998,0.6,0.0,48,0.888
1240,1,365,bad,231,8,13749 US-183 Hwy,Austin,78750,-0.7896,negative,-0.38000000000000006,0.6290476190476191,0.0,36,0.7896
1240,3,365,neutral,231,8,13749 US-183 Hwy,Austin,78750,0.6095,positive,0.22499999999999998,0.35,0.5,44,-0.1095
1240,4,210,neutral,73,8,13749 US-183 Hwy,Austin,78750,0.2382,positive,0.35416666666666663,0.5375,0.75,13,0.5118
1240,3,150,neutral,15,8,13749 US-183 Hwy,Austin,78750,0.0,neutral,0.0,0.0,0.5,3,0.5
1240,4,365,neutral,299,8,13749 US-183 Hwy,Austin,78750,0.8036,positive,0.3267857142857143,0.65,0.75,59,-0.0536
1240,1,365,bad,459,8,13749 US-183 Hwy,Austin,78750,-0.1923,negative,-0.09523809523809523,0.48095238095238096,0.0,91,0.1923
1240,4,365,neutral,426,8,13749 US-183 Hwy,Austin,78750,0.7418,positive,0.0375,0.7075,0.75,85,0.0082
1240,4,120,neutral,69,8,13749 US-183 Hwy,Austin,78750,-0.4767,negative,-0.3138888888888889,0.5472222222222222,0.75,13,1.2267
1240,1,300,bad,370,8,13749 US-183 Hwy,Austin,78750,-0.5344,negative,-0.10833333333333332,0.22083333333333335,0.0,71,0.5344
1240,1,210,bad,265,8,13749 US-183 Hwy,Austin,78750,-0.7506,negative,-0.075,0.175,0.0,54,0.7506
1240,2,730,bad,962,8,13749 US-183 Hwy,Austin,78750,-0.8951,negative,0.05514705882352942,0.33872549019607845,0.25,182,1.1451
1240,5,365,good,207,8,13749 US-183 Hwy,Austin,78750,0.8338,positive,0.1869047619047619,0.6749999999999999,1.0,37,0.1662
1240,3,730,neutral,239,8,13749 US-183 Hwy,Austin,78750,0.174,positive,0.2333333333333333,0.38055555555555554,0.5,44,0.326
1240,2,1095,bad,780,8,13749 US-183 Hwy,Austin,78750,0.3071,positive,0.032745825602968466,0.568279736136879,0.25,148,-0.0571
1240,1,120,bad,15,8,13749 US-183 Hwy,Austin,78750,-0.4767,negative,-0.5,0.9,0.0,3,0.4767
1240,2,365,bad,292,8,13749 US-183 Hwy,Austin,78750,0.5927,positive,-0.09583333333333331,0.5069444444444444,0.25,54,-0.3427
1240,1,365,bad,427,8,13749 US-183 Hwy,Austin,78750,-0.0402,neutral,0.0,0.43333333333333335,0.0,78,0.0402
1240,1,365,bad,285,8,13749 US-183 Hwy,Austin,78750,-0.068,negative,-0.00505952380952381,0.41190476190476194,0.0,56,0.068
1240,1,365,bad,271,8,13749 US-183 Hwy,Austin,78750,0.4019,positive,-0.175,0.30000000000000004,0.0,53,-0.4019
1240,3,365,neutral,266,8,13749 US-183 Hwy,Austin,78750,0.7906,positive,0.175,0.65,0.5,53,-0.2906
1240,3,730,neutral,400,8,13749 US-183 Hwy,Austin,78750,-0.9234,negative,0.049583333333333326,0.6038888888888889,0.5,82,1.4234
1240,1,1825,bad,393,8,13749 US-183 Hwy,Austin,78750,-0.7579,negative,-0.1478835978835979,0.3669312169312169,0.0,80,0.7579
1240,1,730,bad,277,8,13749 US-183 Hwy,Austin,78750,0.1655,positive,-0.01869047619047619,0.6067063492063491,0.0,51,-0.1655
